Dataset,Model,H-Score,LEEP,LogME,NCE,NLEEP,OTCE,PACTranDirichlet,GBC,LFC
Aircraft,googlenet,28.3718,-4.3100,0.9338,-4.2475,-1.9888,198.4737,-0.0450,-104442.5069,0.0355
Aircraft,inception_v3,43.8892,-4.2019,0.9527,-4.1694,-2.1402,201.5746,-0.0439,-122435.3530,0.0703
Aircraft,resnet50,46.2342,-4.2148,0.9465,-4.2010,-2.0805,598.7716,-0.0434,-106332.8547,0.0342
Aircraft,resnet101,46.1198,-4.2299,0.9480,-4.2217,-2.0717,687.6170,-0.0434,-97260.9825,0.0305
Aircraft,resnet152,46.2518,-4.2296,0.9501,-4.2293,-2.1074,676.8420,-0.0434,-96150.8974,0.0316
Aircraft,densenet121,31.5296,-4.2275,0.9382,-4.2165,-1.9442,700.7474,-0.0435,-74320.6861,0.0469
Aircraft,densenet169,41.8083,-4.2454,0.9434,-4.2697,-1.9915,733.4192,-0.0436,-77664.3202,0.0478
Aircraft,densenet201,46.0143,-4.2059,0.9422,-4.1889,-1.9962,668.0827,-0.0434,-81572.0782,0.0489
Aircraft,mobilenet_v2,34.4218,-4.1973,0.9413,-4.2066,-1.8501,667.6452,-0.0437,-12878.9712,0.0314
Aircraft,mnasnet1_0,35.2829,-4.1922,0.9479,-4.1959,-1.8188,423.8395,-0.0437,-73988.8081,0.0381
Cars,googlenet,41.4681,-4.6114,1.2465,-4.3109,-2.1066,179.9349,-0.0253,-19565.2424,0.0570
Cars,inception_v3,73.6678,-4.2687,1.2589,-4.1083,-1.9819,253.1764,-0.0237,-12740.2516,0.0517
Cars,resnet50,72.9581,-4.3651,1.2533,-4.2226,-2.0698,559.7815,-0.0237,-13846.5525,0.0424
Cars,resnet101,74.0023,-4.2818,1.2552,-4.2209,-1.9792,671.4730,-0.0236,-11406.6803,0.0505
Cars,resnet152,76.1927,-4.2152,1.2597,-4.1426,-1.9468,683.8767,-0.0231,-8928.4493,0.0592
Cars,densenet121,45.8209,-4.4359,1.2492,-4.2752,-2.0648,647.3342,-0.0239,-8671.4949,0.0501
Cars,densenet169,63.4067,-4.2841,1.2518,-4.1759,-2.0359,812.5324,-0.0239,-5340.0993,0.0581
Cars,densenet201,70.5128,-4.3168,1.2513,-4.1516,-2.0585,715.0559,-0.0239,-8333.0167,0.0542
Cars,mobilenet_v2,51.1122,-4.4632,1.2500,-4.3063,-2.0896,563.3365,-0.0244,-11117.2818,0.0376
Cars,mnasnet1_0,51.9139,-4.4219,1.2541,-4.3369,-2.1416,341.3599,-0.0243,-10563.6580,0.0471
Caltech101,googlenet,66.412,-1.228,1.428,-0.587,-0.273,177.205,-0.0157,-325.012,0.2665
Caltech101,inception_v3,82.795,-0.959,1.605,-0.514,-0.234,247.459,-0.0137,-345.79,0.1947
Caltech101,resnet50,78.994,-0.862,1.495,-0.581,-0.261,514.531,-0.0135,-258.948,0.2427
Caltech101,resnet101,80.877,-0.764,1.538,-0.557,-0.22,602.965,-0.0127,-200.695,0.2987
Caltech101,resnet152,81.591,-0.729,1.557,-0.538,-0.212,606.754,-0.0123,-279.616,0.3211
Caltech101,densenet121,64.909,-0.827,1.356,-0.566,-0.255,613.784,-0.013,-278.933,0.2868
Caltech101,densenet169,74.339,-0.746,1.407,-0.532,-0.23,774.212,-0.0127,-219.309,0.2716
Caltech101,densenet201,77.227,-0.784,1.421,-0.562,-0.2,707.487,-0.0128,-155.974,0.3046
Caltech101,mobilenet_v2,63.295,-0.949,1.346,-0.647,-0.33,519.505,-0.0146,-215.225,0.2676
Caltech101,mnasnet1_0,64.995,-0.884,1.373,-0.641,-0.318,351.391,-0.0142,-432.608,0.3885
CIFAR10,googlenet,5.911,-1.385,0.293,-1.14,-0.48,180.933,-0.1221,-3412.084,0.1702
CIFAR10,inception_v3,6.361,-1.259,0.349,-1.061,-0.445,240.658,-0.1153,-573.555,0.1309
CIFAR10,resnet50,6.567,-1.01,0.388,-1.007,-0.383,530.868,-0.0937,-0.467,0.1945
CIFAR10,resnet101,6.901,-0.829,0.463,-0.839,-0.291,592.417,-0.0784,-0.251,0.2321
CIFAR10,resnet152,6.945,-0.838,0.469,-0.851,-0.29,635.819,-0.0783,-0.218,0.2194
CIFAR10,densenet121,6.21,-1.035,0.302,-1.006,-0.402,542.361,-0.0949,-0.452,0.1697
CIFAR10,densenet169,6.547,-0.934,0.343,-0.946,-0.381,679.912,-0.0887,-0.432,0.1924
CIFAR10,densenet201,6.706,-0.888,0.369,-0.867,-0.343,589.672,-0.0827,-0.383,0.2385
CIFAR10,mobilenet_v2,5.928,-1.101,0.29,-1.089,-0.453,485.817,-0.1009,-0.949,0.167
CIFAR10,mnasnet1_0,6.018,-1.066,0.304,-1.086,-0.454,263.735,-0.0978,-1291.579,0.1578
CIFAR100,googlenet,29.327,-3.234,1.037,-2.752,-1.22,175.627,-0.0294,-198155.58,0.0656
CIFAR100,inception_v3,36.458,-2.996,1.07,-2.615,-1.182,250.132,-0.0288,-84639.899,0.0611
CIFAR100,resnet50,40.203,-2.612,1.099,-2.516,-1.074,527.362,-0.0255,-3177.101,0.0794
CIFAR100,resnet101,43.798,-2.365,1.13,-2.285,-0.959,603.387,-0.0233,-3130.005,0.0896
CIFAR100,resnet152,44.188,-2.409,1.133,-2.369,-0.957,635.672,-0.0238,-2255.908,0.0871
CIFAR100,densenet121,32.134,-2.665,1.029,-2.504,-1.132,512.695,-0.0256,-7330.248,0.0695
CIFAR100,densenet169,37.508,-2.493,1.051,-2.418,-1.092,659.156,-0.0252,-899.237,0.0821
